災害,100
預警,0.9524
核四,0.9476
存廢,0.9417
防阻,0.9368
李遠哲,0.9366
核電,0.9347
鴻源,0.9322
水患,0.9298
治水,0.9273
學界,0.9245
損害,0.9245
潛藏,0.9240
共存,0.9237
出線,0.9209
素養,0.9200
真正,0.9193
兩極,0.9193
回響,0.9192
防救,0.9192
排碳,0.9184
勞保,0.9177
謹慎,0.9175
三讀,0.9168
防止,0.9167
食品,100
食品安全,0.7624
消費者,0.7518
塑化劑,0.7440
食安,0.7432
標示,0.7183
產品,0.7181
業者,0.7179
安心,0.7161
黑心,0.6896
檢驗,0.6739
天然,0.6681
超標,0.6644
進口,0.6606
把關,0.6501
有機,0.6479
生鮮,0.6427
合格,0.6404
餐廳,0.6402
蔬果,0.6390
稽查,0.6344
餐飲,0.6333
澱粉,0.6279
FSI,0.6263
農產,0.6261
重刑,0.6260
奶粉,0.6255
認證,0.6249
產銷,0.6223
履歷,0.6208
安全,100
安心,0.9053
健康,0.8912
食材,0.8771
把關,0.8606
保障,0.8484
有機,0.8453
檢測,0.8413
營養,0.8369
優惠,0.8353
消費者,0.8327
天然,0.8259
生鮮,0.8227
塑化劑,0.8220
出包,0.8175
登錄,0.8162
堅持,0.8155
無毒,0.8123
品質,0.8102
聯盟,0.8052
飲食,0.7989
百齡,0.7978
家樂福,0.7972
實驗室,0.7967
台糖,0.7895
改善,0.7888
守護,0.7881
飼料,0.7853
產銷,0.7841
