name,color
跨國,#E41A1C
氣候,#E41A1C
變遷,#E41A1C
自然,#E41A1C
材料,#FFFF33
電路板,#FFFF33
智能,#FFFF33
產業化,#FFFF33
領先,#FFFF33
巨量,#FFFF33
座談會,#FFFF33
小農,#FFFF33
NGO,#FFFF33
開課,#FFFF33
新思維,#FFFF33
診斷,#FFFF33
貢獻獎,#FFFF33
產官學,#FFFF33
揭露,#FFFF33
磋商,#FFFF33
鑑識,#FFFF33
巴黎,#FFFF33
峰會,#FFFF33
哥本哈根,#FFFF33
氣候變遷,#FFFF33
議題,#FFFF33
極端,#FFFF33
會議,#FFFF33
對策,#FFFF33
財經,#FFFF33
希臘,#FFFF33
暖化,#FFFF33
漫遊,#FFFF33
缺水,#FFFF33
威脅,#FFFF33
聯合國,#FFFF33
領袖,#FFFF33
財政,#FFFF33
財長,#FFFF33
糧食,#FFFF33
時代,#FFFF33
高峰,#FFFF33
歐債,#FFFF33
因應,#FFFF33
金融,#FFFF33
來臨,#FFFF33
政治,#FFFF33
金融危機,#FFFF33
政治經濟,#FFFF33
漿紙,#FFFF33
遠見,#FFFF33
論析,#FFFF33
國發,#FFFF33
干預,#FFFF33
新訊,#FFFF33
新思維,#FFFF33
三贏,#FFFF33
贏家,#FFFF33
豬糞,#FFFF33
成衣,#FFFF33
航空業,#FFFF33
顧客,#FFFF33
先進,#FFFF33
缺口,#FFFF33
外商,#FFFF33
媒合,#FFFF33
小國,#FFFF33
淡水河,#FFFF33
北極,#FFFF33
基建,#FFFF33
科學,#FFFF33
指標,#FFFF33
模式,#FFFF33
攜手,#FFFF33
角色,#FFFF33
強化,#FFFF33
工作,#FFFF33
CSR,#FFFF33
數位,#FFFF33
理念,#FFFF33
東瀛,#FFFF33
思維,#FFFF33
自然科,#FFFF33
走入,#FFFF33
生存,#FFFF33
省思,#FFFF33
革命,#FFFF33
抬頭,#FFFF33
順光,#FFFF33
翻轉,#FFFF33
IT,#FFFF33
原住民,#FFFF33
三贏,#FFFF33
都市,#FFFF33
善用,#FFFF33
需要,#FFFF33
環境保護,#FFFF33
再造,#FFFF33
