跨國,100
材料,0.9793
電路板,0.9785
智能,0.9764
產業化,0.9753
領先,0.9731
巨量,0.9729
座談會,0.9724
小農,0.9724
NGO,0.9722
開課,0.9713
新思維,0.9695
診斷,0.9692
貢獻獎,0.9684
產官學,0.9682
揭露,0.9677
磋商,0.9675
鑑識,0.9672
氣候,100
巴黎,0.9167
峰會,0.8909
哥本哈根,0.8763
氣候變遷,0.8453
議題,0.8264
極端,0.8254
會議,0.8228
對策,0.8155
財經,0.7980
希臘,0.7952
暖化,0.7945
漫遊,0.7779
缺水,0.7573
威脅,0.7402
聯合國,0.7370
領袖,0.7349
財政,0.7332
財長,0.7317
糧食,0.7248
時代,0.7219
高峰,0.7207
歐債,0.7206
因應,0.7194
金融,0.7181
來臨,0.7153
政治,0.7138
金融危機,0.7135
變遷,100
政治經濟,0.9912
漿紙,0.9912
遠見,0.9910
論析,0.9907
國發,0.9905
干預,0.9890
新訊,0.9877
新思維,0.9873
三贏,0.9872
贏家,0.9869
豬糞,0.9866
成衣,0.9863
航空業,0.9861
顧客,0.9861
先進,0.9861
缺口,0.9860
外商,0.9860
媒合,0.9859
小國,0.9859
淡水河,0.9855
北極,0.9854
基建,0.9853
自然,100
科學,0.9527
指標,0.9459
模式,0.9453
攜手,0.9398
角色,0.9363
強化,0.9360
工作,0.9344
CSR,0.9332
數位,0.9331
理念,0.9315
東瀛,0.9299
思維,0.9285
自然科,0.9280
走入,0.9262
生存,0.9259
省思,0.9232
革命,0.9229
抬頭,0.9224
順光,0.9223
翻轉,0.9213
IT,0.9210
原住民,0.9209
三贏,0.9208
都市,0.9204
善用,0.9204
需要,0.9201
環境保護,0.9192
再造,0.9182
